,evtype,std_name
62,ICY ROADS,WINTER WEATHER
63,RECORD HEAT,EXCESSIVE HEAT
64,TORNADO F2,TORNADO
65,RIP CURRENTS,RIP CURRENT
66,HURRICANE EMILY,HURRICANE (TYPHOON)
67,HURRICANE FELIX,HURRICANE (TYPHOON)
68,THUNDERSTORM,THUNDERSTORM WIND
69,BLOWING SNOW,WINTER WEATHER
70,HIGH WIND/HEAVY SNOW,BLIZZARD
71,RAIN/WIND,HEAVY RAIN
72,HEAT WAVE DROUGHT,HEAT
73,HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW
74,HEAT WAVES,HEAT
75,UNSEASONABLY WARM AND DRY,UNSEASONABLY WARM
76,UNSEASONABLY COLD,COLD/WIND CHILL
77,RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
78,THUNDERSTORM WIND G52,THUNDERSTORM WIND
79,HIGH WAVES,HIGH SURF
80,LOW TEMPERATURE,COLD/WIND CHILL
81,HYPOTHERMIA,HYPOTHERMIA
82,COLD/WINDS,COLD/WIND CHILL
83,RECORD COLD,EXTREME COLD/WIND CHILL
84,SNOW/ BITTER COLD,HEAVY SNOW
85,HIGH WINDS/COLD,HIGH WIND
86,COLD WEATHER,COLD/WIND CHILL
87,RAPIDLY RISING WATER,FLASH FLOOD
88,HEAVY RAINS,HEAVY RAIN
89,HEAVY SNOW/ICE,HEAVY SNOW
90,SNOW/HIGH WINDS,BLIZZARD
91,HIGH WINDS/SNOW,BLIZZARD
92,FREEZING DRIZZLE,WINTER WEATHER
93,FLASH FLOOD/FLOOD,FLASH FLOOD
94,EXCESSIVE RAINFALL,HEAVY RAIN
95,THUNDERSTORMW,THUNDERSTORM WIND
96,FLASH FLOODING/FLOOD,FLASH FLOOD
97,GLAZE,ICE STORM
98,LANDSLIDE,DEBRIS FLOW
99,HIGH WIND AND SEAS,MARINE STRONG WIND
100,RIVER FLOODING,FLOOD
101,MINOR FLOODING,FLOOD
102,DROUGHT/EXCESSIVE HEAT,DROUGHT
103,HEAVY SEAS,HIGH SURF
104,FLOOD & HEAVY RAIN,FLOOD
105,THUNDERSTORM  WINDS,THUNDERSTORM WIND
106,HIGH WIND 48,HIGH WIND
107,THUNDERSTORMS WINDS,THUNDERSTORM WIND
108,FLASH FLOODS,FLASH FLOOD
109,URBAN/SML STREAM FLD,FLOOD
110,ROUGH SURF,HIGH SURF
111,WILD/FOREST FIRE,WILDFIRE
112,MARINE ACCIDENT,OTHER
113,HEAVY SURF,HIGH SURF
114,COASTAL STORM,STORM SURGE/TIDE
115,HURRICANE,HURRICANE (TYPHOON)
116,EXTREME COLD,EXTREME COLD/WIND CHILL
117,TORRENTIAL RAINFALL,HEAVY RAIN
118,HURRICANE EDOUARD,HURRICANE (TYPHOON)
119,COASTAL STORM,STORM SURGE/TIDE
120,TIDAL FLOODING,COASTAL FLOOD
121,STRONG WINDS,STRONG WIND
122,EXTENDED COLD,EXTREME COLD/WIND CHILL
123,EXTREME WINDCHILL,EXTREME COLD/WIND CHILL
124,WHIRLWIND,TORNADO
125,HEAVY SNOW SHOWER,HEAVY SNOW
126,MIXED PRECIP,SLEET
127,FREEZING SPRAY,WINTER WEATHER
128,TSTM WIND/HAIL,MARINE THUNDERSTORM WIND
129,MUDSLIDES,DEBRIS FLOW
130,MUDSLIDE,DEBRIS FLOW
131,COLD,COLD/WIND CHILL
132,RIVER FLOODING,FLOOD
133,COLD TEMPERATURE,COLD/WIND CHILL
134,HEAT WAVE,HEAT
135,SNOW,HEAVY SNOW
136,COASTAL FLOODING,COASTAL FLOOD
137,COLD AND SNOW,WINTER WEATHER
138,RAIN/SNOW,SLEET
139,SNOW SQUALL,BLIZZARD
140,HYPOTHERMIA/EXPOSURE,HYPOTHERMIA
141,HYPOTHERMIA/EXPOSURE,HYPOTHERMIA
142,BLACK ICE,ICE STORM
143,COASTALSTORM,STORM SURGE/TIDE
144,GUSTY WINDS,HIGH WIND
145,BLOWING SNOW,BLIZZARD
146,FROST,FROST/FREEZE
147,SNOW SQUALLS,BLIZZARD
148,GUSTY WINDS,HIGH WIND
149,HEAVY SURF AND WIND,HIGH SURF
150,TYPHOON,HURRICANE (TYPHOON)
151,LANDSLIDES,DEBRIS FLOW
152,HIGH SWELLS,HIGH SURF
153,SMALL HAIL,HAIL
154,COASTAL FLOODING/EROSION,COASTAL FLOOD
